imdb_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description
Sweet Home,"['romance', 'drama', 'melodrama']","['nice male lead', 'tearjerker', 'infidelity', 'tragic past', 'multiple couples', 'love triangle', 'single father', 'soap opera', 'betrayal', 'multi-generational ']",51,27-Feb-16,21-Aug-16,"['saturday', 'sunday']",['MBC'],70,7.3,355,4870,4336,15+ - Teens 15 or older,"1,694","['Kim So Yeon', 'Lee Sang Woo', 'Lee Pil Mo', 'Kang Yi Eun', 'Kim Yeong Cheol', 'Won Mi Kyung']",[],7.3,"20,533","Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late."
Sweet Home,"['horror', 'drama', 'sci-fi', 'supernatural']","['monsters', 'gore', 'survival', 'character development', 'adapted from a webtoon', 'supernatural phenomena', 'multiple mains', 'trauma', 'school bullying', 'attempted suicide ']",10," Dec 18, 2020",N/A,['friday'],['Netflix'],52,8.7,35713,117,75,18+ Restricted (violence & profanity),"63,409","['Song Kang', 'Lee Jin Wook', 'Lee Si Young', 'Lee Do Hyun', 'Kim Nam Hee', 'Go Min Si']",['Netflix'],7.3,"20,533","Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late."
The Office Blind Date,"['comedy', 'romance', 'drama']","['boss-employee relationship', 'secondary couple', 'cheerful female lead', 'fake identity', 'blind date', 'contract relationship', 'sismance', 'double identity', 'company president (ceo) male lead', 'rich male lead ']",12,28-Feb-22,5-Apr-22,"['monday', 'tuesday']","['Netflix', 'SBS']",60,8.7,46986,123,59,15+ - Teens 15 or older,"69,585","['Ahn Hyo Seop', 'Kim Se Jeong', 'Kim Min Gue', 'Seol In Ah', 'Lee Deok Hwa', 'Choi Byung Chan']",['Netflix'],8.1,"8,721","In disguise as her friend, Ha-ri shows up to a blind date to scare him away. But plans go awry when he turns out to be her CEO - and makes a proposal."
Vincenzo,"['comedy', 'law', 'crime', 'drama']","['revenge', 'mafia', 'smart male lead', 'eccentric female lead', 'injustice', 'bromance', 'father-daughter relationship', 'badass male lead', 'smart female lead', 'suspense ']",20,20-Feb-21,2-May-21,"['saturday', 'sunday']","['Netflix', 'tvN']",85,9,51384,32,24,15+ - Teens 15 or older,"92,778","['Song Joong Ki', 'Jeon Yeo Been', 'Ok Taec Yeon', 'Kim Yeo Jin', 'Jo Han Chul', 'Kwak Dong Yeon']","['TVING', 'Netflix']",8.4,"16,819","During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice."
It's Okay to Not Be Okay,"['psychological', 'comedy', 'romance', 'drama']","['possessive female lead', 'independent female lead', 'successful female lead', 'melodrama', 'healing', 'selfless male lead', 'badass female lead', 'psychiatry', 'childhood connection', 'tough male lead ']",16,20-Jun-20,9-Aug-20,"['saturday', 'sunday']","['Netflix', 'tvN']",75,9,71596,26,7,15+ - Teens 15 or older,"129,092","['Kim Soo Hyun', 'Seo Yea Ji', 'Oh Jung Se', 'Park Gyu Young', 'Jang Young Nam', 'Kim Chang Wan']",['Netflix'],8.6,"22,764",An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.
Undercover,"['action', 'thriller', 'mystery', 'crime']","['blood', 'strong female lead', 'revenge', 'lying', 'undercover agent', 'violence', 'murder', 'double identity', 'crime boss', 'hidden identity ']",8," Oct 15, 2021",N/A,['friday'],['Netflix'],50,8.7,30313,144,115,18+ Restricted (violence & profanity),"50,123","['Han So Hee', 'Park Hee Soon ', 'Ahn Bo Hyun', 'Lee Hak Joo', 'Kim  Sang Ho', 'Chang Ryul']",['Netflix'],7.7,187,"A female civil-rights lawyer begins to doubt her husband, whom she has been married for 20 years."
The King's Affection,"['historical', 'romance', 'drama']","['cross-dressing', 'joseon dynasty', 'hidden identity', 'cold female lead', 'gender bender', 'twins', 'first love', 'royalty', 'strong female lead', 'nice male lead ']",20,11-Oct-21,14-Dec-21,"['monday', 'tuesday']","['KBS2', 'Netflix']",70,8.3,13232,755,270,15+ - Teens 15 or older,"29,638","['Park Eun Bin', 'Rowoon', 'Nam Yoon Su', 'Choi Byung Chan', 'Bae Yoon Kyung', 'Jung Chae Yeon']",['Netflix'],7.9,"2,899","The story is set during the Joseon Dynasty when twins were considered an ominous sign. When the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace."
Mouse,"['thriller', 'mystery', 'psychological', 'sci-fi']","['murder', 'investigation', 'character development', 'extreme violence', 'child sexual abuse', 'flashback to past', 'grandma-granddaughter relationship', 'sexual assault', 'suspense', 'school bullying ']",20,3-Mar-21,19-May-21,"['wednesday', 'thursday']",['tvN'],75,8.8,13605,75,185,18+ Restricted (violence & profanity),"37,115","['Lee Seung Gi', 'Lee Hee Joon', 'Park Ju Hyun', 'Kyung Soo Jin', 'Woo Ji Hyun', 'Ahn Jae Wook']","['Apple TV', 'TVING', 'Viki', 'WeTV']",8.7,"5,891","A suspenseful story that will center around the key question, ""What if we could sort out psychopaths in advance?"""
Hometown Cha-Cha-Cha,"['comedy', 'romance', 'life', 'drama']","['nice male lead', 'nice female lead', 'cheerful male lead', 'hardworking male lead', 'hardworking female lead', 'bickering couple', 'jack of all trades', 'smart female lead', 'opposites attract', 'character development ']",16,28-Aug-21,17-Oct-21,"['saturday', 'sunday']","['Netflix', 'tvN']",80,8.8,37441,78,69,15+ - Teens 15 or older,"64,963","['Shin Min Ah', 'Kim Seon Ho', 'Lee Sang Yi', 'In Gyo Jin', 'Lee Bong Ryun', 'Jo Han Chul']","['TVING', 'Netflix']",8.4,"11,425","A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
Remarriage & Desires,"['drama', 'melodrama']","['infidelity', 'revenge', 'marriage', 'miniseries', 'professor female lead', 'company president (ceo) male lead', 'single mother female lead', 'divorced male lead', 'divorced female lead', 'wrongfully accused ']",8," Jul 15, 2022",N/A,['friday'],['Netflix'],60,8.1,3212,1282,1464,15+ - Teens 15 or older,"6,854","['Kim Hee Sun', 'Lee Hyun Wook', 'Jung Eugene', 'Park Hoon', 'Cha Ji Yeon', 'Kim Yun Seo']",['Netflix'],7.4,858,"Through an exclusive matchmaking agency, women strive to marry a desirable bachelor and into the highest echelon of society."
Itaewon Class,"['business', 'romance', 'life', 'drama']","['calm male lead', 'revenge', 'time skip', 'smart female lead', 'female chases male first', 'badass female lead', 'adapted from a webtoon', 'strong female lead', 'corruption', 'boss-employee relationship ']",16,31-Jan-20,21-Mar-20,"['friday', 'saturday']","['jTBC', 'Netflix']",70,8.5,53091,348,20,15+ - Teens 15 or older,"98,547","['Park Seo Joon', 'Kim Da Mi', 'Kwon Na Ra', 'Yoo Jae Myung', 'Ahn Bo Hyun', 'Kim Dong Hee']",['Netflix'],8.2,"13,098","An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death."
Descendants of the Sun,"['action', 'comedy', 'romance', 'melodrama']","['hardworking female lead', 'multiple couples', 'bromance', 'hardworking male lead', 'gun violence', 'filmed abroad', 'friendship', 'strong female lead', 'calm male lead', 'earthquake ']",16,24-Feb-16,14-Apr-16,"['wednesday', 'thursday']",['KBS2'],60,8.7,76982,152,3,15+ - Teens 15 or older,"146,673","['Song Joong Ki', 'Song Hye Kyo', 'Jin Goo', 'Kim Ji Won', 'Lee Seung Joon', 'Seo Jung Yeon']","['WeTV', 'iflix', 'Apple TV', 'Hulu', 'Viki']",8.3,"15,618",This drama tells of the love story that develops between a surgeon and a special forces officer.
What's Wrong with Secretary Kim,"['friendship', 'business', 'comedy', 'romance']","['adapted from a webtoon', 'steamy kiss', 'boss-employee relationship', 'rich male lead', 'male chases female first', 'calm female lead', 'smart female lead', 'trauma', 'phobia', 'strong female lead ']",16,6-Jun-18,26-Jul-18,"['wednesday', 'thursday']",['tvN'],69,8.5,73383,303,6,15+ - Teens 15 or older,"135,576","['Park Min Young', 'Park Seo Joon', 'Lee Tae Hwan', 'Pyo Ye Jin', 'Kim Hye Ok', 'Kim Byung Ok']","['WeTV', 'Apple TV', 'iflix', 'Hulu', 'Viki']",8.1,"11,858",A romance between perfect but narcissistic second generation heir and his capable assistant.
The Silent Sea,"['thriller', 'mystery', 'horror', 'sci-fi']","['dystopia', 'environmental issues', 'space mission', 'investigation', 'future', 'water shortage', 'space travel', 'outer space', 'deadly mission', 'drama ']",8," Dec 24, 2021",N/A,['friday'],['Netflix'],50,8.2,11160,1005,398,15+ - Teens 15 or older,"22,425","['Bae Doo Na', 'Gong Yoo', 'Lee Joon', 'Kim Sun Young', 'Lee Moo Saeng', 'Lee Sung Wook']",['Netflix'],6.9,"19,876","During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets."
Snowdrop,"['romance', 'drama', 'melodrama', 'political']","['1980s', 'political intrigue', 'love at first sight', 'student', 'dormitory', 'university', 'conspiracy', 'hostage', 'impulsive female lead', 'north and south korea ']",16,18-Dec-21,30-Jan-22,"['saturday', 'sunday']",['jTBC'],90,8.5,13741,344,164,15+ - Teens 15 or older,"40,205","['Jung Hae In', 'Kim Ji Soo', 'Jang Seung Jo', 'Yoo In Na', 'Yoon Se Ah', 'Kim Hye Yoon']","['Disney+ Hotstar', 'Disney+']",8.2,"9,412","Adapted from the handwritten notes of a man who escaped from a political prison camp in North Korea, Snowdrop is set against the backdrop of the 1987 Democracy Movement in South Korea."
Adamas,"['thriller', 'mystery', 'drama']","['revenge', 'twins', 'death of a stepfather', 'writer male lead', 'reporter female lead', ""brothers' relationship"", 'secret', 'death', 'murder', 'investigation ']",16,27-Jul-22,15-Sep-22,"['wednesday', 'thursday']",['tvN'],70,7.8,523,2243,1647,15+ - Teens 15 or older,"6,062","['Ji Sung', 'Seo Ji Hye', 'Lee Soo Kyung', 'Heo Sung Tae', 'Oh Dae Hwan', 'Lee Kyung Young']","['Disney+', 'Disney+ Hotstar']",7.1,129,A story of twin brothers uncovering the truth from an incident 22 years ago.
Hellbound,"['mystery', 'horror', 'drama', 'supernatural']","['dark fantasy', 'supernatural phenomena', 'extreme violence', 'adapted from a webtoon', 'investigation', 'suspense', 'religion', 'cult', 'fantasy', 'detective fiction ']",6," Nov 19, 2021",N/A,['friday'],['Netflix'],50,7.6,12354,3735,377,18+ Restricted (violence & profanity),"23,201","['Yoo Ah In', 'Kim Hyun Joo', 'Yang Ik Jun', 'Park Jung Min', 'Won Jin Ah', 'Ryu Kyung Soo']",['Netflix'],6.6,"23,373","People hear predictions on when they will die. When that time comes, a death angel appears in front of them and kills them."
Tomorrow,"['action', 'thriller', 'drama', 'fantasy']","['grim reaper male lead', 'underworld', 'death', 'suicide', 'afterlife', 'suicide prevention', 'grim reaper female lead', 'attempted suicide', 'coma', 'team leader female lead ']",16,1-Apr-22,21-May-22,"['friday', 'saturday']","['MBC', 'Netflix']",60,8.9,18684,49,166,15+ - Teens 15 or older,"39,673","['Kim Hee Sun', 'Rowoon', 'Lee Soo Hyuk', 'Yun Ji On', 'Kim Hae Sook', 'Kim Nu Ri']",['Netflix'],7.8,"8,801","Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions."
Tomorrow,"['romance', 'drama', 'melodrama', 'supernatural']","['time travel', 'time manipulation', 'eccentric female lead', 'steamy kiss', 'successful male lead', 'rich man/poor woman', 'adult romance', 'cold man/warm woman', 'clingy female lead', 'hardworking female lead ']",16,3-Feb-17,25-Mar-17,"['friday', 'saturday']",['tvN'],60,8,14620,1451,178,15+ - Teens 15 or older,"38,156","['Lee Je Hoon', 'Shin Min Ah', 'Jo Han Chul', 'Kang Gi Doong', 'Park Joo Hee', 'Baek Hyun Jin']","['K-DRAMA', 'Viki', 'WeTV', 'Netflix']",7.8,"8,801","Made half-human and half-spirit by accident, a young man is employed by a company of grim reapers in the underworld to carry out special missions."
Backstreet Rookie,"['action', 'business', 'comedy', 'romance']","['hardworking female lead', 'badass female lead', 'boss-employee relationship', 'female chases male first', 'nice female lead', 'adapted from a webtoon', 'strong female lead', 'store manager', 'misunderstanding', 'slow burn romance ']",16,19-Jun-20,8-Aug-20,"['friday', 'saturday']","['iQiyi', 'SBS']",70,7.7,15874,2682,204,15+ - Teens 15 or older,"35,752","['Ji Chang Wook', 'Kim Yoo Jung', 'Han Sun Hwa', 'Do Sang Woo', 'Sol Bin', 'Kim Min Gue']","['Viki', 'Netflix']",7.5,"2,451",A former troublemaker applies for a job at a convenience store owned by the same man who ran errands for her a few years ago.
Mr. Sunshine,"['military', 'historical', 'romance', 'melodrama']","['strong male lead', 'independent female lead', 'strong female lead', 'smart male lead', 'bromance', 'gun violence', 'female lead action scenes', 'rebellion', 'japanese colonial rule', 'sword-fight ']",24,7-Jul-18,30-Sep-18,"['saturday', 'sunday']","['Netflix', 'tvN']",80,8.9,19468,43,96,15+ - Teens 15 or older,"54,339","['Lee Byung Hun', 'Kim Tae Ri', 'Yoo Yeon Seok', 'Byun Yo Han', 'Kim Min Jung', 'Kim Gab Soo']",['Netflix'],8.7,"7,407",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.
Start-Up,"['business', 'comedy', 'romance', 'youth']","['lying', 'competition', 'app developer', 'hardworking male lead', 'hardworking female lead', 'artificial intelligence', 'nice female lead', 'love triangle', 'unrequited love', 'grandma-granddaughter relationship ']",16,17-Oct-20,6-Dec-20,"['saturday', 'sunday']","['Netflix', 'tvN']",85,8.1,36260,1122,56,15+ - Teens 15 or older,"70,385","['Bae Suzy', 'Nam Joo Hyuk', 'Kim Seon Ho', 'Kang Han Na', 'Kim Hae Sook', 'Kim Do Wan']",['Netflix'],8.1,"9,893",Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.
Flower of Evil,"['thriller', 'romance', 'crime', 'melodrama']","['deception', 'family secret', 'mystery', 'suspense', 'smart female lead', 'hidden personality', 'antisocial personality disorder', 'investigation', 'murder', 'hidden identity ']",16,29-Jul-20,23-Sep-20,"['wednesday', 'thursday']",['tvN'],70,9.1,36089,6,40,15+ - Teens 15 or older,"78,704","['Lee Joon Gi', 'Moon Chae Won', 'Jang Hee Jin', 'Seo Hyun Woo', 'Nam Ki Ae', 'Son Jong Hak']","['Apple TV', 'Hulu', 'Viki']",8.7,"7,303","""Flower of Evil"" is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past."
Our Blues,"['romance', 'life', 'drama', 'melodrama']","['multiple mains', 'anthology', 'island setting', 'middle-aged female lead', 'middle-aged male lead', 'age gap [drama life]', 'age gap [real life]', 'slow burn story', 'family', 'friendship ']",20,9-Apr-22,12-Jun-22,"['saturday', 'sunday']","['Netflix', 'tvN']",70,8.7,6200,120,468,15+ - Teens 15 or older,"19,998","['Lee Byung Hun', 'Shin Min Ah', 'Cha Seung Won', 'Lee Jung Eun', 'Uhm Jung Hwa', 'Han Ji Min']","['TVING', 'Netflix']",8.6,"1,425",Romance is sweet and bitter - and life riddled with ups and downs - in multiple stories about people who live and work on bustling Jeju Island.
Nevertheless,"['romance', 'life', 'youth', 'drama', 'mature']","['steamy kiss', 'sexual content', 'fast paced romance', 'weak female lead', 'multiple couples', 'friends with benefits', 'love triangle', 'adapted from a webtoon', 'playboy male lead', 'love/hate relationship ']",10,19-Jun-21,21-Aug-21,['saturday'],"['jTBC', 'Netflix']",70,7.5,28336,4155,103,15+ - Teens 15 or older,"53,284","['Han So Hee', 'Song Kang', 'Chae Jong Hyeop', 'Lee Yeol Eum', 'Yang Hye Ji', 'Kim Min Gwi']",['Netflix'],7.2,"5,103",The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.
Run On,"['romance', 'life', 'drama', 'sports']","['strong female lead', 'secondary couple', 'calm male lead', 'quirky humour', 'multiple couples', 'nice male lead', 'hardworking female lead', 'smart female lead', 'eccentric male lead', 'famous male lead ']",16,16-Dec-20,4-Feb-21,"['wednesday', 'thursday']","['jTBC', 'Netflix']",70,8.3,30689,594,80,15+ - Teens 15 or older,"60,923","['Im Si Wan', 'Shin Se Kyung', 'Choi Soo Young', 'Kang Tae Oh', 'Park Young Gyu', 'Cha Hwa Yun']",['Netflix'],7.5,"3,277","Veering off course from his preset path, a track star follows his own pace and heart for the first time after a film translator steps into his life"
Our Beloved Summer,"['romance', 'youth', 'drama']","['lovers reunited', 'high school sweethearts', 'first love', 'healing', 'flashback to past', 'love/hate relationship', 'interview', 'slice of life', 'coming of age', 'bickering couple ']",16,6-Dec-21,25-Jan-22,"['monday', 'tuesday']","['Netflix', 'SBS']",60,8.8,25922,89,118,15+ - Teens 15 or older,"49,699","['Choi  Woo Shik', 'Kim Da Mi', 'Kim Sung Cheol', 'Roh Jeong Eui', 'Ahn Dong Goo', 'Park Jin Joo']","['Wavve', 'Netflix']",8.3,"5,399","A coming of age, romantic comedy revolving around ex-lovers who broke up with a promise never to meet again. But the documentary they filmed ten years ago gets the fame and they are by compulsion facing camera once more."
Stranger,"['thriller', 'mystery', 'law', 'drama']","['suspense', 'investigation', 'corruption', 'crime solving duo', 'murder', 'calm male lead', 'alexithymia', 'emotionless male lead', 'strong female lead', 'smart female lead ']",16,10-Jun-17,30-Jul-17,"['saturday', 'sunday']","['Netflix', 'tvN']",70,8.9,18449,53,143,15+ - Teens 15 or older,"44,995","['Cho Seung Woo', 'Bae Doo Na', 'Lee Joon Hyuk', 'Yoo Jae Myung', 'Shin Hye Sun', 'Choi Jae Woong']","['Disney+ Hotstar', 'Netflix']",8.5,"8,150","With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption."
Doom at Your Service,"['comedy', 'romance', 'drama', 'fantasy']","['terminal illness', 'illness', 'brain cancer', 'hardworking female lead', 'unlucky female lead', 'glioblastoma', 'first love', 'eccentric male lead', 'brother-sister relationship', 'fate ']",16,10-May-21,29-Jun-21,"['monday', 'tuesday']","['tvN', 'ViuTV']",65,8.4,29261,433,82,15+ - Teens 15 or older,"59,809","['Park Bo Young', 'Seo In Guk', 'Lee Soo Hyuk', 'Kang Tae Oh', 'Shin Do Hyun', 'Dawon']","['TVING', 'Prime Video', 'Viki']",s 8,"3,634","Tak Dong Kyung lives a fairly ordinary life until she stumbles into an unexpected fate and ends up signing a hundred-day contract with Myul Mang, risking her everything."
Hotel Del Luna,"['horror', 'comedy', 'romance', 'fantasy']","['boss-employee relationship', 'ghost-seeing male lead', 'strong female lead', 'ghost', 'smart female lead', 'supernatural', 'death', 'nice male lead', 'flashback to past', 'hardworking male lead ']",16,13-Jul-19,1-Sep-19,"['saturday', 'sunday']",['tvN'],80,8.7,56300,147,13,15+ - Teens 15 or older,"117,572","['IU', 'Yeo Jin Goo', 'Shin Jung Keun', 'Bae Hae Seon', 'P.O', 'Jo Hyun Chul']","['WeTV', 'Netflix', 'K-DRAMA', 'Apple TV', 'Viki']",8.2,"8,618","When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
Strong Girl Bong-soon,"['action', 'comedy', 'romance', 'supernatural']","['strong female lead', 'female lead action scenes', 'superhuman strength', 'love triangle', 'nice male lead', 'rich man/poor woman', 'father-daughter relationship', 'gang', 'boss-employee relationship', 'rich male lead ']",16,24-Feb-17,15-Apr-17,"['friday', 'saturday']",['jTBC'],67,8.7,91938,135,2,15+ - Teens 15 or older,"160,085","['Park Bo Young', 'Park Hyung Sik', 'Kim Ji Soo', 'Jun Suk Ho', 'Shim Hye Jin', 'Yoo Jae Myung']","['Disney+ Hotstar', 'WeTV', 'Apple TV', 'iflix', 'Prime Video', 'Viki']",8.2,"12,058","Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard."
Happiness,"['action', 'thriller', 'drama', 'sci-fi']","['disease', 'slow burn romance', 'strong female lead', 'virus', 'survival', 'smart male lead', 'fake marriage', 'discrimination', 'infectious disease', 'illness ']",12,5-Nov-21,11-Dec-21,"['friday', 'saturday']",['tvN'],65,8.9,24218,42,137,15+ - Teens 15 or older,"45,637","['Han Hyo Joo', 'Park Hyung Sik', 'Jo  Woo Jin', 'Lee Joon Hyuk', 'Park Joo Hee', 'Baek Hyun Jin']","['WeTV', 'Netflix', 'TVING', 'Viki']",7.8,"5,212",An apocalyptic thriller that takes place in a time in which infectious diseases have become the new normal.
